DISPOSITIVO (BDI);IP Gestion;IP-ETH0 (BDI);IP-ETH1;ENCARGO;SERVICIO GNIV;PROYECTO_SERVICIO_CS;CPU;RAM (GB);DISK (GB);TAMAÑO U;ESPACIO ALM/BCK (GB);ENTORNO;ESTADO;APAGADO/BAJA;HORARIO;TIPO DISPOSITIVO;TIPO EQUIPO;DETALLE SERVICIO;CONTACTOS;ADMINISTRACIÓN;FECHA ALTA;FECHA BAJA;COMENTARIOS;SISTEMA OPERATIVO;TIPO ALOJAMIENTO
DESSANDSC01;10.240.241.67;10.240.241.67;;SDT_TI;;;4;8 Gb;60.000 ;;;DESARROLLO;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Maquinas pruebas aplicaciones.;Mario Galán / Alejandro González;ADM;2022-09-27;;Máquina para pruebas Área TI Interna;;HOUSING VIRTUAL
DESSANHVA01;;10.240.240.16;;SDT_TI;INTE-SAND-012 ;P0005-TI;2;4;40.000 ;;;DESARROLLO;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Portal Web Zonadigital;Alfonso Moreno;100% SSII - AMORENO;;;;Red Hat Enterprise Linux 7.5;HOSTING VIRTUAL
DESSANLIC01;;;;SDT_JUR;INTE-SAND-004 ;P0005-JUR;2;4;22.000 ;;;DESARROLLO;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Portal De Licitaciones;Alfonso Moreno;100% EXPLOTACION/SSII - AMORENO;;;;Oracle Linux Server 7.2;HOUSING VIRTUAL
DESSANLIC02;10.240.240.226;10.240.240.226;10.240.236.193;SDT_JUR;INTE-SAND-004 ;P0005-JUR;2;2;20.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;24x7;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Portal De Licitaciones;Alfonso Moreno;;;2021-10-04;Solicitado su baja el 1/10 en SRQ-989551- RFC RFC-990129. Ejecutada la baja el 4/10;Red Hat Enterprise Linux 7.2;HOUSING VIRTUAL
DESSANNOM01;10.240.234.202;10.240.234.202;;SDT_ADON;Sin especificar ;P0000;1;1;20.000 ;;;DESARROLLO;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;NOMINAS Y MATERIAL DE OFICINA;F.Calderón;100% EXPLOTACION/SSII - AMORENO -> ADM;;;SRQ-878949. MV para migración de Bollullos, Creada 15/06. Web de Nominas de Sandetel y material de oficina. Se acordó solicitar el paso a producción vía clonado del servicio de nóminas y material de oficina, a partir de lo desplegado en el servidor de desarrollo DESSANNOM01;Debian 10 amd64;HOUSING VIRTUAL
DESSANNOT01;;10.240.241.54;10240236184;SDT_JUR;INTE-SAND-010 ;P0005-JUR;2;2;24.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Notificaciones Electrónicas Sandetel;Alfonso Moreno;;;2021-05-12;Se solicita apagado temporal SRQ-861581, se pregunta por backup de máquinas en OFF. Se apagan el 12-05 hasta 31 dic del 2021. 10/01/22 Transcurrido los meses explotación arranca la VM, pendiente de decidir si se reutiliza la VM.20/01/22 Se tramita su apagado de nuevo en 1053372,  31/01/21 Solicitada la baja en 1066942 junto con la instancia de BBDD. 08/02/2022 Ejecutada la baja del servicio incluida la BBDD, con backup quinquenal de la BBDD.;Oel 7.4;HOUSING VIRTUAL
DESSANPRO01;10.240.236.113;;;ABONO P0000;Sin especificar ;P0005;4;2;125.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Thycotic Pov Secret Server;D.Cucala;;;2021-08-05;Se solicita baja en SRQ-953281.;Windows Server 2016 Standard;HOUSING VIRTUAL
DESSANSEG01;10.240.241.22;10.240.241.22;;SDT_SEG;INTE-IAAS-016 ;P0005-SEG;2;4;40.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Sigue teniendo: un servidor Docker  el rocketchat aunque parado porque no se consigue arrancar la es;David Cucala;;;2022-09-13;16/2/22 Reporta Javier Martin Anterior Pruebas Gate. Sigue teniendo: un servidor Docker  el rocketchat aunque parado porque no se consigue arrancar la estancia docker, el cmdbuild ya no está funcionando ahí, y lo de collabora también está parado. Solciitada su baja 06/09 en SRQ-1202927. RFC 1204147 Baja realizada 13/09/2022;Suse Linux Enterprise Server 12 Sp3;HOUSING VIRTUAL
DESSANSEG02;10.240.240.120;10.240.240.120;;SDT_SEG;INTE-IAAS-016 ;P0005-SEG;2;4;20.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;;David Cucala;;;2022-08-22;"DESSANSEG02 → Entorno pruebas SANSEG02
19/8/22 Solicitada la baja en el tique 1194971 /  RFC-1195010 . Se realiza la baja el 22/8/22
";Windows Server 2016 Standard;HOUSING VIRTUAL
DESSANSEG03;10.240.241.43;10.240.241.43;;SDT_SEG;INTE-IAAS-016 ;P0005-SEG;2;4;40.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;;;;;2021-08-05;Se solicita baja en SRQ-953281. Fecha de baja 05/08/2021;Suse Linux Enterprise Server 15;HOUSING VIRTUAL
DESSANSEG04;10.240.234.28;;;Sin especificar;SDT_SEG;P0005-SEG;2;4;40.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Vm  de Desarrollo d la Cmdbuild instalada en SANSEG04, para probar las relaciones entre aplic y disp;Javier Martín;ADM - JMartin;2022-02-07;2022-10-24;Solicitada en SRQ-1064685. Vm  de Desarrollo para la Cmdbuild instalada en SANSEG04, para probar las relaciones entre aplic y disp. Se solicita la baja en SRQ-1233993 el 20/10- Se crea la RFC-1235134;SUSE Linux Enterprise Server 12 SP3;HOUSING VIRTUAL
DESSANTAQ01;10.240.217.175;10.240.241.80;;SDT_TI;INTE-IAAS-025	 ;P0005-TI;1;8;100.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Metra + Firebird;Mario Galán / Alejandro González;ADM;2024-09-10;;"Máquina PRE para instalación de TAQ. Actualmente no tiene nada y se encuentra disponible para pruebas.
";Windows 2022;HOUSING VIRTUAL
DESSANTI01;10.240.234.15;10.240.234.15;;SDT_TI;INTE-SAND-013;P0005-TI;4;32;120.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Maquinas pruebas aplicaciones.;Mario Galán / Alejandro González;ADM;2022-09-27;2025-09-30;"Máquina para pruebas Área TI Interna
Tramitada baja a finales de octubre de 2025";;HOUSING VIRTUAL
DESSANTI02;10.240.241.97;10.240.241.97;;SDT_TI;IDS-DESA-001	 ;xxxxx;8;32;100.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Maquinas Windows  Quest 01;Mario Galán / Alejandro González;ADM;2022-12-07;2023-01-20;"Máquina instalación QUEST - Área TI Interna
20/01/2023 - Se da de baja la maqina (se sustituye por máquina de producción SANTI01)";;HOUSING VIRTUAL
DESSANTI03;10.240.241.97;10.240.241.98;;SDT_TI;IDS-DESA-001	 ;xxxxx;8;32;100.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Maquinas Windows  Quest 02;Mario Galán / Alejandro González;ADM;2022-12-07;2023-01-20;"Máquina instalación QUEST2 - Área TI Interna
20/01/2023 - Se da de baja la máquina (se sustituye por SANTI02 en producción)";;HOUSING VIRTUAL
DESSANWOR01;;;;SDT_TI;INTE-IAAS-001    ;P0005-TI;2;4;24.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Iaas Workflow De Compras De Sandetel ;Alfonso Moreno/JMG Mañero;;;2021-06-09;Solicitada baja del servicio SRQ-861534. Se consulta por ocpiones de backup. Se pide copia de seguridad en produccion con retención quinquenal. RAD-893703 baja 09/06/2021 a las 9h;Centos 6.8;HOUSING VIRTUAL
DHCP;;10.240.223.10;;SDT_PDT;Sin especificar ;P0005-PDT;1;2;;2.00000 ;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR FISICO;Servidor Web / Aplicaciones / Horizontal;Hp Proliant Dl180G5;F.Lebrero;;;2021-07-07;30/04 Le he preguntado a JoseMari que investigue con 24x7 pero en teoría todo se migró al InfoBlok de GLAN. Si es como suponemos, la apagamos durante un mes y si nadie dice nada, hacemos un Backup y la apagamos. SRQ-911390. Fecha apagado 07/07/2021 tras cumplir periodo de apagado sin reclamación se solicita  BAJA definitiva en SRQ-994286 / RFC -996726 el 21/10/21.;;HOSTING FISICO
DNSSAN01;;;;SDT_TI;INTE-SAND-005  ;P0005-TI;4;1;4.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Dns Ofimática Pabellón De Francia;Flebrero;;;2021-05-20;Solicitada baja del servicio en SRQ-870606;Debian 7.0;HOUSING VIRTUAL
DPSALMSAN02;10.240.234.161;10.240.234.161;;ABONO P0000;INTE-SAND-001 INTE-SAND-011;P0005;2;4;24.000 ;;;PREPRODUCCION;OPERATIVO;APAGADO;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Almacenamiento Compartido De Sandetel Para Oficina;Dcucala;100% EXPLOTACIÓN;;;" Aparece en distcoste de Agosto; pero en BDI y en el Vcenter están apagadas. El  30 de Agosto y 12 de Sept aparecen en PRE y estado Operativo. El 20 de Sept aparece apagadas. La petición de apagado no se sabe cuando se hizo, pero en Bdi se corrige en 978028. 
10/01/22 Transcurrido los meses explotación arranca la VM, pendiente de decidir si se reutiliza la VM.
20/01/22 Se tramita su apagado de nuevo en 1053372, Siguiendo recomendación de Silvia Bielza no se realiza la baja, permaneciendo apagada por si se requiere para pruebas de PRO.
Marzo 2023 -> Proceso de migración del SO a WinServer 2019
Junio 2024 --> Migrado a Windows 2022";Microsoft Windows Server 2022 (64-Bit);HOSTING VIRTUAL
DPSALMSAN03;10.240.234.162;10.240.234.162;;ABONO P0000;INTE-SAND-001 INTE-SAND-011;P0005;2;4;24.000 ;;;PREPRODUCCION;OPERATIVO;APAGADO;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Almacenamiento Compartido De Sandetel Para Oficina;Dcucala;100% EXPLOTACIÓN ;;;"10/01/22 Transcurrido los meses explotación arranca la VM, pendiente de decidir si se reutiliza la VM.
20/01/22 Se tramita su apagado de nuevo en 1053372,  Siguiendo recomendación de Silvia Bielza no se realiza la baja, permaneciendo apagada por si se requiere para pruebas de PRO.
Marzo 2023 -> Proceso de migración del SO a WinServer 2019
Junio 2024 -> Actualido SO a Windows 2022 ";Microsoft Windows Server 2022 (64-Bit);HOSTING VIRTUAL
DPSMSWLOG02;10.240.240.6 ;;;SDT_SEG;Sin especificar ;P0005-SEG;2;4;170.000 ;;;PREPRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Ova Graylog;D.Cucala;;;2021-08-05;Se solicita baja en SRQ-953281.;Ubuntu 16.04.3;HOSTING VIRTUAL
DPSSANDIN01;;10.240.240.159;;SDT_COMPLIANCE;INTE-SAND-007;P0005-COMPL;1;2;40.000 ;;;PREPRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Compliance-Canal Denuncias;Alfonso Moreno/A.Cala;100% SSII - AMORENO;;;;Oel 7.4;HOSTING VIRTUAL
DPSSANLIC01;10.240.241.201;;;SDT_JUR;INTE-SAND-004 ;P0005-JUR;2;4;20.000 ;;;PREPRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Portal De Licitaciones;Alfonso Moreno;100% EXPLOTACION/SSII - AMORENO;;;;Oracle Linux Server 7.2;HOSTING VIRTUAL
DPSSANLINC02;10.240.241.202;10.240.241.202;192.168.6.133;SDT_JUR;INTE-SAND-004 ;P0005-JUR;2;2;18.000 ;;;PREPRODUCCION;FUERA DE SERVICIO;APAGADO;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Portal De Licitaciones;Alfonso Moreno;100% EXPLOTACION/SSII - AMORENO;;2022-09-15;Solicitado su apagado en SRQ-1204374 el 8/9/22 RFC 1206346. EJECUTADA 15/09/22;Oracle Linux Server 7.2;HOSTING VIRTUAL
DPSSANLINC03;10.240.241.203;192.168.6.145;;SDT_JUR;INTE-SAND-004 ;P0005-JUR;2;2;18.000 ;;;PREPRODUCCION;FUERA DE SERVICIO;APAGADO;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Portal De Licitaciones;Alfonso Moreno;100% EXPLOTACION/SSII - AMORENO;;2022-09-15;Solicitado su apagado en SRQ-1204374 el 8/9/22 RFC 1206346. EJECUTADA 15/09/22;Oracle Linux Server 7.2;HOSTING VIRTUAL
DPSSANPKI01;;10.240.241.152;;SDT_PDT;INTE-IAAS-006;P0005-PDT;2;4;20.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Certificaciones  Pki;Fede Lebrero;;;2021-07-15;Baja del servicio. RAD-923983.  Se solicita copia de seguridad con retención quinquenal.;Red Hat Enterprise 6 Up 58;HOUSING VIRTUAL
DPSSANVDI01;10.240.241.152;10.240.241.152;;SDT_ADON;INTE-VESC-001 ;P0005-TI;1;4;70.000 ;;;PREPRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal; Virtualización De Escritorio (Navision Y Nóminas);Sbielza;50% EXPLOTACIÓN - 50% N2 -> ADM;;;;Windows 2012 Standard R2;HOSTING VIRTUAL
DPSSANWOR01;;;;SDT_ADON;INTE-IAAS-001    ;P0000;2;4;24.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Iaas Workflow De Compras De Sandetel ;Alfonso Moreno/JMG Mañero;;;2021-06-09;Solicitada baja del servicio SRQ-861534. Se consulta por ocpiones de backup. Se pide copia de seguridad en produccion con retención quinquenal. RAD-893703 baja 09/06/2021 a las 9h;Centos 6.9;HOUSING VIRTUAL
GECOS-SERVER;;10.240.217.186;192.168.7.241;SDT_SSII;Sin especificar ;P0005-SSII;2;4;16.000 ;;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;;J.Perez;;;2021-07-22;DC: No la llevamos nosotros. Fede me dice que viene de otra llamada desgec01y que “aparece”el nombre de Jesús Rubio. Es posible que sea de Alfonso de Cala, y que micro sea quien aplica políticas y permisos sobre ella. SRQ-921813 Baja GECOS-SERVER. copia de seguridad con retención quinquenal RFC-924764 baja día 22/07/2021. En Vcenter está apagada.  Se solicita la baja SRQ-1023569 y se ejecuta el 19/11/21;DEBIAN 6.0;
PANORAMIX;;10.240.217.17;10.240.220.83;SDT_TI;Sin especificar ;P0005-TI;1;;;1.00000 ;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR FISICO;Servidor Base de Datos;Hp Proliant Dl360G5;F.Lebrero;;;2021-09-22;"SRQ-971372 lo han pasado a cierre temporal. .El backup ya se realizó:hemos tenido que montar en una MV con cliente Netbackup y respaldar desde ahí. Los datos para un restore son:
Política: TMP_SND_Standard_tcsdms02
Cliente: tdscms.backup.sandetel.es
JOB ID: 7736838” Fecha de baja 22/9";;HOSTING FISICO
PRESADNAV01;;10.240.192.65;;SDT_ADON;INTE-NAV-002 INTE-NAV-003  ;P0000;2;8;;;;PREPRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR FISICO;Servidor Base de Datos;Navision;JMGMañero;;;2021-05-12;Solicitada baja de servicio SRQ-846635 PRESADNAV01 DESARROLLO Sin copia de seguridad RAD-861957 ;Windows 2003 Server Enterprise R2 Sp2 64;HOSTING FISICO
PRESADNAV02;10.240.240.38 (BDI);10.240.240.38;10.240.236.17;SDT_ADON;INTE-NAV-002 INTE-NAV-003  ;P0000;4;8;138.000 ;;;PREPRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Navision;JMGMañero;100% ADON;;;; Windows 2012 Standard R2;HOSTING VIRTUAL
PRESANGRE01;10.240.239.19;10.240.239.19;;SDT_TI;INTE-SAND-013 ;P0005-TI;2;4;30.000 ;;;PREPRODUCCION;OPERATIVO;APAGADO;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Gregistro;Alfonso Moreno;100% SSII - AMORENO;;2022-10-05;Fede informa por email el 3/10 APAGADO definitivo de servidores entorno PREPRO por ahorro de energía.;Red Hat Enterprise Linux 7.5;HOSTING VIRTUAL
